moneda,barrio,count,mean,median,min,max
$,Carrasco Norte,1,26500.0,26500.0,26500.0,26500.0
$,Parque Batlle,1,26500.0,26500.0,26500.0,26500.0
$,Centro,2,28000.0,28000.0,21000.0,35000.0
$,Villa Dolores,1,29000.0,29000.0,29000.0,29000.0
$,Cordón,3,32030.0,32590.0,30000.0,33500.0
$,Pocitos,1,36500.0,36500.0,36500.0,36500.0
$,Unión,1,39150.0,39150.0,39150.0,39150.0
$,Shangrilá,1,41700.0,41700.0,41700.0,41700.0
$,Punta Carretas,2,43500.0,43500.0,40500.0,46500.0
$,Pocitos Nuevo,2,44850.0,44850.0,43800.0,45900.0
$,Golf,1,45500.0,45500.0,45500.0,45500.0
U$S,Península,1,5000.0,5000.0,5000.0,5000.0
U$S,Punta Carretas,2,6175.0,6175.0,6050.0,6300.0
U$S,Carrasco,1,6190.0,6190.0,6190.0,6190.0
U$S,Pocitos,1,11100.0,11100.0,11100.0,11100.0
