moneda,barrio,count,mean,median,min,max
$,Villa Dolores,1,414.2857142857143,414.2857142857143,414.2857142857143,414.2857142857143
$,Parque Batlle,1,547.6190476190476,547.6190476190476,547.6190476190476,547.6190476190476
$,Centro,2,568.936877076412,568.936877076412,428.57142857142856,709.3023255813954
$,Pocitos,1,600.0,600.0,600.0,600.0
$,Cordón,2,649.875,649.875,625.0,674.75
$,Unión,1,755.5555555555555,755.5555555555555,755.5555555555555,755.5555555555555
$,Golf,1,770.0,770.0,770.0,770.0
$,Carrasco Norte,1,790.3225806451613,790.3225806451613,790.3225806451613,790.3225806451613
$,Shangrilá,1,800.0,800.0,800.0,800.0
$,Punta Carretas,2,850.3205128205128,850.3205128205128,675.0,1025.6410256410256
$,Pocitos Nuevo,2,858.4717607973422,858.4717607973422,788.3720930232558,928.5714285714286
U$S,Pocitos,1,22.916666666666668,22.916666666666668,22.916666666666668,22.916666666666668
U$S,Carrasco,1,23.42105263157895,23.42105263157895,23.42105263157895,23.42105263157895
U$S,Punta Carretas,2,35.296052631578945,35.296052631578945,33.75,36.8421052631579
