moneda,barrio,count,mean,median,min,max
$,Parque Batlle,1,23000.0,23000.0,23000,23000
$,Carrasco Norte,1,24500.0,24500.0,24500,24500
$,Centro,2,25750.0,25750.0,21000,30500
$,Villa Dolores,1,29000.0,29000.0,29000,29000
$,Cordón,3,28996.666666666668,30000.0,26990,30000
$,Pocitos,1,30000.0,30000.0,30000,30000
$,Unión,1,34000.0,34000.0,34000,34000
$,Shangrilá,1,36000.0,36000.0,36000,36000
$,Pocitos Nuevo,2,36450.0,36450.0,33900,39000
$,Golf,1,38500.0,38500.0,38500,38500
$,Punta Carretas,2,40250.0,40250.0,40000,40500
U$S,Carrasco,1,890.0,890.0,890,890
U$S,Pocitos,1,1100.0,1100.0,1100,1100
U$S,Punta Carretas,2,1375.0,1375.0,1350,1400
U$S,Península,1,5000.0,5000.0,5000,5000
